country_entity,Average of central_x,Average of central_y,iso3c,events in last 12 months (ucdp),change in number of events since year before (ucdp),% change in events in last year (ucdp),agt update,Text paragraph,CPI Rank,GPI index rank,sexual violence events
Algeria,2.679966,28.14411,DZA,2,2,,"• The most recent agreement in Algeria was Project de charte pour la paix et la réconciliation nationale (14/08/2005) part of the Algeria: Bouteflika Process 
 • Since then, there have been 1155 conflict events, and 3277 estimated fatalities [UCDP], and 2902 political violence events and 4097 estimated fatalities [ACLED].","Recent Updates: 
 • The most recent agreement in Algeria was Project de charte pour la paix et la réconciliation nationale (14/08/2005) part of the Algeria: Bouteflika Process - since then, there have been 1155 conflict events, and 3277 estimated fatalities [UCDP], and 2902 political violence events and 4097 estimated fatalities [ACLED]. 
 • In the last month UCDP have recorded 0 events, and 8 in ACLED.     
 General Updates: 
 • UCDP Conflict events have ▲ ( 2 ) to 2 and ACLED events have ▲ ( 59 ) to 85 in the last 12 months. 
 • INFORM Crisis Index includes Mixed migration flows in Algeria: Medium [Score is 2.6 out of 5], Sahrawi refugees in Algeria: Medium [Score is 2.1 out of 5], Multiple crises in Algeria: Medium [Score is 2.6 out of 5] 
 • In 2022 Algeria were categorised as Rest of the world by OECD. 
 • Ranked 109 out of 163 countries in the Global Peace Index [ ↓ 119 from last year], and ranked 116 out of 181 countries in the Corruption Perception Index [ ↑ 117 from last year].    ",116,109,
Angola,17.54534,-12.2937,AGO,3,1,50%,"• The most recent agreement in Angola was Peace, Security and Cooperation Framework for the Democratic Republic of the Congo and the region
 (24/02/2013) part of the African Great Lakes: Regional Process 
 • Since then, there have been 102 conflict events, and 149 estimated fatalities [UCDP], and 401 political violence events and 528 estimated fatalities [ACLED].","Recent Updates: 
 • The most recent agreement in Angola was Peace, Security and Cooperation Framework for the Democratic Republic of the Congo and the region
 (24/02/2013) part of the African Great Lakes: Regional Process - since then, there have been 102 conflict events, and 149 estimated fatalities [UCDP], and 401 political violence events and 528 estimated fatalities [ACLED]. 
 • In the last month UCDP have recorded 0 events, and 11 in ACLED.     
 General Updates: 
 • UCDP Conflict events have ▲ ( 1 ) to 3 and ACLED events have ▲ ( 2 ) to 73 in the last 12 months. 
 • INFORM Crisis Index includes Drought in South-West Angola: High [Score is 3.1 out of 5] 
 • In 2022 Angola were categorised as Other fragile by OECD. 
 • Ranked 78 out of 163 countries in the Global Peace Index [ ↓ 92 from last year], and ranked 116 out of 181 countries in the Corruption Perception Index [ ↑ 136 from last year].   
 • ACLED have recorded 5050759 sexual violence events.",116,78,5050759
Armenia,44.94022,40.29308,ARM,5,3,150%,"• The most recent agreement in Armenia was Trilateral Statement of the leaders of Azerbaijan, Russian
Federation and Armenia (31/10/2022) part of the Armenia-Azerbaijan-Nagorno Karabakh: OSCE Minsk Process 
 • Since then, there have been 4 conflict events, and 5 estimated fatalities [UCDP], and 146 political violence events and 13 estimated fatalities [ACLED].","Recent Updates: 
 • The most recent agreement in Armenia was Trilateral Statement of the leaders of Azerbaijan, Russian
Federation and Armenia (31/10/2022) part of the Armenia-Azerbaijan-Nagorno Karabakh: OSCE Minsk Process - since then, there have been 4 conflict events, and 5 estimated fatalities [UCDP], and 146 political violence events and 13 estimated fatalities [ACLED]. 
 • In the last month UCDP have recorded 0 events, and 26 in ACLED.     
 General Updates: 
 • UCDP Conflict events have ▲ ( 3 ) to 5 and ACLED events have ▲ ( 8 ) to 165 in the last 12 months. 
 • INFORM Crisis Index includes Nagorno-Karabakh Conflict in Armenia: Low [Score is 1.9 out of 5] 
 • In 2022 Armenia were categorised as Rest of the world by OECD. 
 • Ranked 83 out of 163 countries in the Global Peace Index [ ↓ 86 from last year], and ranked 63 out of 181 countries in the Corruption Perception Index [ ↓ 58 from last year].    ",63,83,
Bangladesh,90.28845,23.80467,BGD,17,11,183%,"• The most recent agreement in Bangladesh was Agreement between the National Committee on Chittagong Hill Tracts Constituted by the Government and The Parbattya Chattagram Janasanghati Samity (02/12/1997) part of the Bangladesh-Chittagong Hills Tracts: peace process 
 • Since then, there have been 453 conflict events, and 747 estimated fatalities [UCDP], and 12232 political violence events and 5279 estimated fatalities [ACLED].","Recent Updates: 
 • The most recent agreement in Bangladesh was Agreement between the National Committee on Chittagong Hill Tracts Constituted by the Government and The Parbattya Chattagram Janasanghati Samity (02/12/1997) part of the Bangladesh-Chittagong Hills Tracts: peace process - since then, there have been 453 conflict events, and 747 estimated fatalities [UCDP], and 12232 political violence events and 5279 estimated fatalities [ACLED]. 
 • In the last month UCDP have recorded 0 events, and 90 in ACLED.     
 General Updates: 
 • UCDP Conflict events have ▲ ( 11 ) to 17 and ACLED events have ▼ ( -1 ) to 957 in the last 12 months. 
 • INFORM Crisis Index includes Rohingya refugee crisis: High [Score is 3.3 out of 5], Mutliple crises in Bangladesh: High [Score is 3.6 out of 5], Floods and Monsoon Rain in Chattogram Division: Medium [Score is 2.8 out of 5], Multiple Crises in Bangladesh: High [Score is 3.3 out of 5], Cyclone Amphan Bangladesh: Medium [Score is 2.6 out of 5], Floods in Bangladesh: Medium [Score is 2.4 out of 5], 2022 Floods in Bangladesh: Medium [Score is 3 out of 5] 
 • In 2022 Bangladesh were categorised as Other fragile by OECD. 
 • Ranked 96 out of 163 countries in the Global Peace Index [ ↓ 102 from last year], and ranked 147 out of 181 countries in the Corruption Perception Index [ ↓ 147 from last year].   
 • ACLED have recorded 123018984 sexual violence events.",147,96,123018984
Burundi,29.92644,-3.3223,BDI,24,12,100%,"• The most recent agreement in Burundi was Final statement on the Memorandum of Understanding on strengthening and maintaining peace and security along the common border between the Republic of Burundi and the Democratic Republic of the Congo (05/10/2020) part of the DRC: Eastern DRC processes 
 • Since then, there have been 83 conflict events, and 124 estimated fatalities [UCDP], and 1237 political violence events and 707 estimated fatalities [ACLED].","Recent Updates: 
 • The most recent agreement in Burundi was Final statement on the Memorandum of Understanding on strengthening and maintaining peace and security along the common border between the Republic of Burundi and the Democratic Republic of the Congo (05/10/2020) part of the DRC: Eastern DRC processes - since then, there have been 83 conflict events, and 124 estimated fatalities [UCDP], and 1237 political violence events and 707 estimated fatalities [ACLED]. 
 • In the last month UCDP have recorded 0 events, and 6 in ACLED. 
 • There is an estimated 2700000 People in Need and 946000 Children in Need.   
 General Updates: 
 • UCDP Conflict events have ▲ ( 12 ) to 24 and ACLED events have ▼ ( -246 ) to 238 in the last 12 months. 
 • INFORM Crisis Index includes Complex in Burundi: High [Score is 3.3 out of 5], Political and economic crisis in Burundi: High [Score is 3.5 out of 5], Flooding in Burundi: Low [Score is 1.7 out of 5] 
 • In 2022 Burundi were categorised as Extremely fragile by OECD. 
 • Ranked 131 out of 163 countries in the Global Peace Index [ ↑ 126 from last year], and ranked 171 out of 181 countries in the Corruption Perception Index [ ↓ 169 from last year].   
 • ACLED have recorded 387746130 sexual violence events.",171,131,387746130
Cameroon,12.73861,5.673797,CMR,123,45,58%,"• The most recent agreement in Cameroon was Agreement between the Republic of Cameroon and the Federal Republic of Nigeria concerning the Modalities of Withdrawal and Transfer of Authority in the Bakassi Peninsula (12/06/2006) part of the Cameroon-Nigeria border peace process 
 • Since then, there have been 1529 conflict events, and 6996 estimated fatalities [UCDP], and 6696 political violence events and 12089 estimated fatalities [ACLED].","Recent Updates: 
 • The most recent agreement in Cameroon was Agreement between the Republic of Cameroon and the Federal Republic of Nigeria concerning the Modalities of Withdrawal and Transfer of Authority in the Bakassi Peninsula (12/06/2006) part of the Cameroon-Nigeria border peace process - since then, there have been 1529 conflict events, and 6996 estimated fatalities [UCDP], and 6696 political violence events and 12089 estimated fatalities [ACLED]. 
 • In the last month UCDP have recorded 6 events, and 59 in ACLED. 
 • There is an estimated 4700000 People in Need and 2500000 Children in Need. 
 • There are currently an estimated 2430111 people in Food Crisis/Emergency (IPC Phase 3+) 
 General Updates: 
 • UCDP Conflict events have ▲ ( 45 ) to 123 and ACLED events have ▼ ( -161 ) to 788 in the last 12 months. 
 • INFORM Crisis Index includes Multiple crises in Cameroon: High [Score is 4 out of 5], Lake Chad basin crisis in Cameroon: High [Score is 3.6 out of 5], Anglophone Crisis in Cameroon: High [Score is 3.4 out of 5], CAR refugees in Cameroon: Medium [Score is 2.8 out of 5] 
 • In 2022 Cameroon were categorised as Other fragile by OECD. 
 • Ranked 142 out of 163 countries in the Global Peace Index [ ↓ 146 from last year], and ranked 142 out of 181 countries in the Corruption Perception Index [ ↑ 144 from last year]. 
 • New displacements by conflict and violence per year is 139000 (IDMC) 
 • ACLED have recorded 100963691 sexual violence events.",142,142,100963691
Chad,18.67417,15.37626,TCD,6,4,200%,"• The most recent agreement in Chad was Doha Agreement for Peace and Involvement of Political-Military Movements in the Sovereign and Inclusive National Dialogue in Chad (08/08/2022) part of the Chad: Doha process 
 • Since then, there have been 7 conflict events, and 125 estimated fatalities [UCDP], and 132 political violence events and 295 estimated fatalities [ACLED].","Recent Updates: 
 • The most recent agreement in Chad was Doha Agreement for Peace and Involvement of Political-Military Movements in the Sovereign and Inclusive National Dialogue in Chad (08/08/2022) part of the Chad: Doha process - since then, there have been 7 conflict events, and 125 estimated fatalities [UCDP], and 132 political violence events and 295 estimated fatalities [ACLED]. 
 • In the last month UCDP have recorded 0 events, and 3 in ACLED. 
 • There is an estimated 7600000 People in Need and 3000000 Children in Need. 
 • There are currently an estimated 1737246 people in Food Crisis/Emergency (IPC Phase 3+) 
 General Updates: 
 • UCDP Conflict events have ▲ ( 4 ) to 6 and ACLED events have ▼ ( -49 ) to 97 in the last 12 months. 
 • INFORM Crisis Index includes Complex crisis in Chad: Very High [Score is 4.3 out of 5], Lake Chad basin crisis: High [Score is 3.6 out of 5], CAR refugees in Chad: High [Score is 3.7 out of 5], Darfur refugees in Chad: High [Score is 3.7 out of 5], Tibesti Conflict in Chad: Medium [Score is 2.5 out of 5], Drought in Chad: Medium [Score is 3 out of 5], Floods in Chad: Medium [Score is 2.6 out of 5] 
 • In 2022 Chad were categorised as Extremely fragile by OECD. 
 • Ranked 136 out of 163 countries in the Global Peace Index [ ↓ 137 from last year], and ranked 167 out of 181 countries in the Corruption Perception Index [ ↓ 164 from last year]. 
 • New displacements by conflict and violence per year is 80000 (IDMC) 
 • ACLED have recorded 2934829 sexual violence events.",167,136,2934829
Democratic Republic of Congo,23.6157,-2.86219,COD,361,31,9%,"• The most recent agreement in Democratic Republic of Congo was Press Release on Meeting between H.E. Uhuru Muigai Kenyatta, Former President of the Republic of Kenya and Facilitator of the EAC led DRC Peace Process and the Leadership of M-23 (12/01/2023) part of the DRC: EAC-led Nairobi process for Eastern DRC 
 • Since then, there have been 349 conflict events, and 1267 estimated fatalities [UCDP], and 1327 political violence events and 1862 estimated fatalities [ACLED].","Recent Updates: 
 • The most recent agreement in Democratic Republic of Congo was Press Release on Meeting between H.E. Uhuru Muigai Kenyatta, Former President of the Republic of Kenya and Facilitator of the EAC led DRC Peace Process and the Leadership of M-23 (12/01/2023) part of the DRC: EAC-led Nairobi process for Eastern DRC - since then, there have been 349 conflict events, and 1267 estimated fatalities [UCDP], and 1327 political violence events and 1862 estimated fatalities [ACLED]. 
 • In the last month UCDP have recorded 7 events, and 74 in ACLED. 
 • There is an estimated 26400000 People in Need and  Children in Need. 
 • There are currently an estimated 25800000 people in Food Crisis/Emergency (IPC Phase 3+) 
 General Updates: 
 • UCDP Conflict events have ▲ ( 31 ) to 361 and ACLED events have ▼ ( -1730 ) to 2321 in the last 12 months. 
 • INFORM Crisis Index includes Complex crisis in DRC: Very High [Score is 4.4 out of 5], Floods in DRC: Medium [Score is 2.7 out of 5], Floods in south-eastern DRC: Medium [Score is 2.6 out of 5] 
 • In 2022 Democratic Republic of Congo were categorised as Extremely fragile by OECD. 
 • Ranked 158 out of 163 countries in the Global Peace Index [ ↑ 157 from last year], and ranked 166 out of 181 countries in the Corruption Perception Index [ ↑ 169 from last year]. 
 • New displacements by conflict and violence per year is 4004000 (IDMC) 
 • ACLED have recorded 1381458738 sexual violence events.",166,158,1381458738
Eritrea,38.86067,15.3628,ERI,1,1,,"• The most recent agreement in Eritrea was Agreement on Peace, Friendship and Comprehensive Cooperation Between the Federal Democratic Republic of Ethiopia and the State of Eritrea (16/09/2018) part of the Eritrea-Ethiopia border dispute peace process 
 • Since then, there have been 1 conflict events, and 1 estimated fatalities [UCDP], and 32 political violence events and 1 estimated fatalities [ACLED].","Recent Updates: 
 • The most recent agreement in Eritrea was Agreement on Peace, Friendship and Comprehensive Cooperation Between the Federal Democratic Republic of Ethiopia and the State of Eritrea (16/09/2018) part of the Eritrea-Ethiopia border dispute peace process - since then, there have been 1 conflict events, and 1 estimated fatalities [UCDP], and 32 political violence events and 1 estimated fatalities [ACLED]. 
 • In the last month UCDP have recorded 0 events, and 0 in ACLED.     
 General Updates: 
 • UCDP Conflict events have ▲ ( 1 ) to 1 and ACLED events have ▼ ( -7 ) to 4 in the last 12 months. 
 • INFORM Crisis Index includes Complex crisis in Eritrea: High [Score is 3.5 out of 5] 
 • In 2022 Eritrea were categorised as Extremely fragile by OECD. 
 • Ranked 132 out of 163 countries in the Global Peace Index [ ↓ 135 from last year], and ranked 162 out of 181 countries in the Corruption Perception Index [ ↓ 161 from last year].   
 • ACLED have recorded 1034759 sexual violence events.",162,132,1034759
Ethiopia,39.64475,8.619089,ETH,292,11,4%,"• The most recent agreement in Ethiopia was Declaration of the Senior Commanders on the Modalities for the Implementation of the Agreement for a Lasting Peace Through a Permanent Cessation of Hostilities (12/11/2022) part of the Ethiopia: Tigray process 
 • Since then, there have been 281 conflict events, and 839 estimated fatalities [UCDP], and 766 political violence events and 1910 estimated fatalities [ACLED].","Recent Updates: 
 • The most recent agreement in Ethiopia was Declaration of the Senior Commanders on the Modalities for the Implementation of the Agreement for a Lasting Peace Through a Permanent Cessation of Hostilities (12/11/2022) part of the Ethiopia: Tigray process - since then, there have been 281 conflict events, and 839 estimated fatalities [UCDP], and 766 political violence events and 1910 estimated fatalities [ACLED]. 
 • In the last month UCDP have recorded 17 events, and 92 in ACLED. 
 • There is an estimated 28600000 People in Need and 16500000 Children in Need. 
 • There are currently an estimated 5522943 people in Food Crisis/Emergency (IPC Phase 3+) 
 General Updates: 
 • UCDP Conflict events have ▲ ( 11 ) to 292 and ACLED events have ▼ ( -518 ) to 1002 in the last 12 months. 
 • INFORM Crisis Index includes Complex crisis in Ethiopia: High [Score is 4 out of 5], International Displacement: High [Score is 3.2 out of 5], Northern Ethiopia Conflict: High [Score is 3.9 out of 5], Drought in Ethiopia: High [Score is 3.7 out of 5], Flood Crisis in Ethiopia: Medium [Score is 2.5 out of 5] 
 • In 2022 Ethiopia were categorised as Other fragile by OECD. 
 • Ranked 149 out of 163 countries in the Global Peace Index [ ↑ 140 from last year], and ranked 94 out of 181 countries in the Corruption Perception Index [ ↓ 87 from last year].   
 • ACLED have recorded 140917183 sexual violence events.",94,149,140917183
